label,text
ham,"The product deployment went smoothly, all tests passed in staging."
ham,Following up on our conversation about engineering. I've included the updated numbers.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,Your PayPal account has been LIMITED. Confirm your details now: bit.ly/claim-now
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
spam,You've been selected for a free iPhone! Claim your prize before it expires.
ham,"I've shared the billing folder with you on the drive, let me know if access works."
spam,FINAL NOTICE: Your domain registration expires today. Renew now at quickcash-offer.com.
ham,"Hey, are we still on for lunch this week to talk about the design project?"
spam,Get rich quick with crypto trading bot! Turn $100 into $500 in one week.
spam,Get rich quick with crypto trading bot! Turn $100 into $250 in one week.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
ham,Following up on our conversation about product. I've included the updated numbers.
spam,"Limited time offer! Get 100% off all products, buy now before it's gone!"
ham,Can we move our product call to 3pm tomorrow? Let me know if that works.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Please review the attached document about design and share your feedback by Friday.
ham,Your order has shipped and should arrive within 3-5 business days.
ham,Can we move our budget call to 3pm tomorrow? Let me know if that works.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,Your package could not be delivered. Update your payment info at quickcash-offer.com to reschedule.
ham,Reminder: the billing workshop starts at 10am in the main conference room.
ham,"The weather looks great this weekend, want to go hiking with the billing group?"
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,Let's schedule a quick sync about the billing roadmap for next quarter.
ham,Attached is the invoice for last month's marketing services. Let me know if you need anything else.
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
ham,Thank you for your purchase. Your receipt for budget services is attached.
spam,URGENT: Your account will be suspended. Verify your identity immediately at secure-verify-account.com
ham,Could you send me the latest version of the product spreadsheet when you get a chance?
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
spam,Hot singles in your area want to meet you tonight! Sign up free at quickcash-offer.com
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Thank you for your purchase. Your receipt for sales services is attached.
ham,Thank you for your purchase. Your receipt for engineering services is attached.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,Your PayPal account has been LIMITED. Confirm your details now: quickcash-offer.com
ham,Thank you for your purchase. Your receipt for design services is attached.
spam,FINAL NOTICE: Your domain registration expires today. Renew now at bit.ly/claim-now.
spam,"Dear customer, unusual activity was detected. Verify your bank account now at win-big-today.net."
spam,FREE gift card worth $100! Just complete this short survey to claim yours.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
